# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   74       2.980497021599e-10       6.566520405948e-14      -1.530124785711e-12       1.086252991931e-14       2.167363938829e-11       2.606175534312e-12      -9.472658946115e-15 
   75       3.005795931091e-10       6.772062289600e-14      -1.596572245759e-12       1.092330656962e-14       2.098042020621e-11       2.535404819459e-12      -9.265433309710e-15 
   76       3.031514070230e-10       6.979491245957e-14      -1.664162675023e-12       1.097813851592e-14       2.031720968407e-11       2.467668233699e-12      -9.055139872856e-15 
   77       3.057654854498e-10       7.188652238740e-14      -1.732846914843e-12       1.102704313941e-14       1.968248004985e-11       2.402778531689e-12      -8.849650153533e-15 
   78       3.084213996670e-10       7.399383211527e-14      -1.802572548458e-12       1.107004935679e-14       1.907412849105e-11       2.340485240119e-12      -8.657592036893e-15 
   79       3.111179109288e-10       7.611514992627e-14      -1.873283845660e-12       1.110719782193e-14       1.848945278173e-11       2.280471998511e-12      -8.488372819985e-15 
   80       3.138537737537e-10       7.824876180620e-14      -1.944926629587e-12       1.113853448398e-14       1.792582246413e-11       2.222434888901e-12      -8.349959965759e-15 
   81       3.166303938995e-10       8.039308987304e-14      -2.017463972219e-12       1.116408952982e-14       1.738288025034e-11       2.166338941041e-12      -8.241728817474e-15 
   82       3.194495615800e-10       8.254655985365e-14      -2.090863136377e-12       1.118389513565e-14       1.686068022603e-11       2.112201527590e-12      -8.160409028088e-15 
   83       3.223126256553e-10       8.470755369265e-14      -2.165090930930e-12       1.119799186315e-14       1.635901493724e-11       2.060014190286e-12      -8.102198333461e-15 
   84       3.252204694905e-10       8.687440952351e-14      -2.240113746598e-12       1.120642873805e-14       1.587740389808e-11       2.009741480541e-12      -8.062744073182e-15 
   85       3.281734868154e-10       8.904542163971e-14      -2.315897591748e-12       1.120926332884e-14       1.541508209841e-11       1.961319800043e-12      -8.037124711386e-15 
   86       3.311715575831e-10       9.121884046591e-14      -2.392408128202e-12       1.120656182534e-14       1.497098851152e-11       1.914656241345e-12      -8.019831357585e-15 
   87       3.342140238292e-10       9.339287252905e-14      -2.469610707031e-12       1.119839911738e-14       1.454375460181e-11       1.869627428465e-12      -8.004749287486e-15 
   88       3.372996655308e-10       9.556568042953e-14      -2.547470404362e-12       1.118485887340e-14       1.413169283251e-11       1.826078357481e-12      -7.985139463817e-15 
   89       3.404272812405e-10       9.773540592333e-14      -2.625949909432e-12       1.116602949268e-14       1.373319856868e-11       1.783860718041e-12      -7.955084954008e-15 
   90       3.435975869930e-10       9.990024338107e-14      -2.705002731059e-12       1.114199106280e-14       1.334805308931e-11       1.742957274383e-12      -7.914130493838e-15 
   91       3.468115721834e-10       1.020583778527e-13      -2.784578986490e-12       1.111282649155e-14       1.297630475280e-11       1.703374950325e-12      -7.863340059814e-15 
   92       3.500699064397e-10       1.042079632953e-13      -2.864627457852e-12       1.107862546786e-14       1.261786857235e-11       1.665106525268e-12      -7.803900179923e-15 
   93       3.533729245421e-10       1.063471228904e-13      -2.945095595774e-12       1.103948447860e-14       1.227252091687e-11       1.628130066270e-12      -7.737123400466e-15 
   94       3.567206113425e-10       1.084739493614e-13      -3.025929523013e-12       1.099550682536e-14       1.193989421181e-11       1.592408360114e-12      -7.664451752913e-15 
   95       3.601125866838e-10       1.105865052911e-13      -3.107074038079e-12       1.094680264132e-14       1.161947164006e-11       1.557888345381e-12      -7.587460220736e-15 
   96       3.635480903191e-10       1.126828234385e-13      -3.188472618859e-12       1.089348890801e-14       1.131058184284e-11       1.524500544519e-12      -7.507860206263e-15 
   97       3.670259668315e-10       1.147609070570e-13      -3.270067426246e-12       1.083568947218e-14       1.101239362055e-11       1.492158495913e-12      -7.427502997512e-15 
   98       3.705446505528e-10       1.168187302111e-13      -3.351799307757e-12       1.077353506257e-14       1.072391063362e-11       1.460758185956e-12      -7.348383235044e-15 
   99       3.741026524863e-10       1.188542809116e-13      -3.433608753324e-12       1.070715841099e-14       1.044419976100e-11       1.430202848166e-12      -7.272238983909e-15 
  100       3.777001323659e-10       1.208656968049e-13      -3.515438909278e-12       1.063667879072e-14       1.017312453647e-11       1.400482596104e-12      -7.199279820692e-15 
  101       3.813375222858e-10       1.228511493818e-13      -3.597232999991e-12       1.056221530915e-14       9.910706236347e-12       1.371605067206e-12      -7.129284193201e-15 
  102       3.850150356812e-10       1.248088037004e-13      -3.678933428771e-12       1.048389156615e-14       9.656897054110e-12       1.343570804837e-12      -7.061985338271e-15 
  103       3.887326583318e-10       1.267368192229e-13      -3.760481793031e-12       1.040183561159e-14       9.411577633486e-12       1.316372997849e-12      -6.997069858966e-15 
  104       3.924901393666e-10       1.286333506512e-13      -3.841818899458e-12       1.031617990273e-14       9.174554601538e-12       1.289997220127e-12      -6.934176301795e-15 
  105       3.962869822681e-10       1.304965487642e-13      -3.922884779175e-12       1.022706126179e-14       8.945558101756e-12       1.264421170138e-12      -6.872893733915e-15 
  106       4.001224358764e-10       1.323245612533e-13      -4.003618702910e-12       1.013462083333e-14       8.724239327136e-12       1.239614410485e-12      -6.812760320342e-15 
  107       4.039954853932e-10       1.341155335594e-13      -4.083959196161e-12       1.003900404179e-14       8.510168053275e-12       1.215538107450e-12      -6.753261901160e-15 
  108       4.079048433867e-10       1.358676097090e-13      -4.163844054362e-12       9.940360548915e-15       8.302830171454e-12       1.192144770551e-12      -6.693830568730e-15 
  109       4.118489407951e-10       1.375789331506e-13      -4.243210358053e-12       9.838844211272e-15       8.101625221722e-12       1.169377992086e-12      -6.633843244896e-15 
  110       4.158262698904e-10       1.392476916652e-13      -4.321994688457e-12       9.734608269139e-15       7.906001764489e-12       1.147185492404e-12      -6.572748396145e-15 
  111       4.198364823517e-10       1.408722568356e-13      -4.400133773051e-12       9.627790304763e-15       7.715888478350e-12       1.125560711970e-12      -6.510467662885e-15 
  112       4.238794155403e-10       1.424510640745e-13      -4.477563951385e-12       9.518525270556e-15       7.531313873433e-12       1.104506079530e-12      -6.447043206466e-15 
